country,year,population,continent,life_exp,gdp_cap,Kilotons of Co2,Metric Tons Per Capita
Afghanistan,1992,16317921,Asia,41.674,649.3413952,1390.0,0.12
Afghanistan,1997,22227415,Asia,41.763,635.341351,1100.0,0.06
Afghanistan,2002,25268405,Asia,42.129,726.7340548,1030.0,0.05
Afghanistan,2007,31889923,Asia,43.828,974.5803384,1770.0,0.07
Albania,1992,3326498,Europe,71.581,2497.437901,2220.0,0.68
Albania,1997,3428038,Europe,72.95,3193.054604,1470.0,0.47
Albania,2002,3508512,Europe,75.651,4604.211737,3760.0,1.23
Albania,2007,3600523,Europe,76.423,5937.029526,4140.0,1.39
Algeria,1992,26298373,Africa,67.744,5023.216647,66840.0,2.5
Algeria,1997,29072015,Africa,69.152,4797.295051,74430.0,2.53
Algeria,2002,31287142,Africa,70.994,5288.040382,82400.0,2.61
Algeria,2007,33333216,Africa,72.301,6223.367465,102750.0,3.02
Angola,1992,8735988,Africa,40.647,2627.845685,6880.0,0.54
Angola,1997,9875024,Africa,40.963,2277.140884,16160.0,1.09
Angola,2002,10866106,Africa,41.003,2773.287312,15690.0,0.9
Angola,2007,12420476,Africa,42.731,4797.231267,16970.0,0.81
Argentina,1992,33958947,Americas,71.868,9308.41871,107930.0,3.22
Argentina,1997,36203463,Americas,73.275,10967.28195,126120.0,3.52
Argentina,2002,38331121,Americas,74.34,8797.640716,117470.0,3.1
Argentina,2007,40301927,Americas,75.32,12779.37964,162810.0,4.08
Australia,1992,17481977,Oceania,77.56,23424.76683,268400.0,15.36
Australia,1997,18565243,Oceania,78.83,26997.93657,307850.0,16.71
Australia,2002,19546792,Oceania,80.37,30687.75473,353370.0,18.13
Australia,2007,20434176,Oceania,81.235,34435.36744,385750.0,18.52
Austria,1992,7914969,Europe,76.04,27042.01868,57660.0,7.35
Austria,1997,8069876,Europe,77.51,29095.92066,64220.0,8.06
Austria,2002,8148312,Europe,78.98,32417.60769,69370.0,8.58
Austria,2007,8199783,Europe,79.829,36126.4927,71240.0,8.59
Bahrain,1992,529491,Asia,72.601,19035.57917,12270.0,22.13
Bahrain,1997,598561,Asia,73.925,20292.01679,14420.0,22.09
Bahrain,2002,656397,Asia,74.795,23403.55927,17220.0,23.01
Bahrain,2007,708573,Asia,75.635,29796.04834,23000.0,22.1
Bangladesh,1992,113704579,Asia,56.018,837.8101643,11820.0,0.11
Bangladesh,1997,123315288,Asia,59.412,972.7700352,18970.0,0.16
Bangladesh,2002,135656790,Asia,62.013,1136.39043,27430.0,0.2
Bangladesh,2007,150448339,Asia,64.062,1391.253792,37990.0,0.26
Belgium,1992,10045622,Europe,76.46,25575.57069,112330.0,11.18
Belgium,1997,10199787,Europe,77.53,27561.19663,116630.0,11.46
Belgium,2002,10311970,Europe,78.32,30485.88375,110850.0,10.73
Belgium,2007,10392226,Europe,79.441,33692.60508,104590.0,9.84
Benin,1992,4981671,Africa,53.919,1191.207681,280.0,0.05
Benin,1997,6066080,Africa,54.777,1232.975292,1240.0,0.19
Benin,2002,7026113,Africa,54.406,1372.877931,2180.0,0.29
Benin,2007,8078314,Africa,56.728,1441.284873,4000.0,0.46
Bolivia,1992,6893451,Americas,59.957,2961.699694,11150.0,1.51
Bolivia,1997,7693188,Americas,62.05,3326.143191,9120.0,1.12
Bolivia,2002,8445134,Americas,63.883,3413.26269,8300.0,0.93
Bolivia,2007,9119152,Americas,65.554,3822.137084,12080.0,1.24
Botswana,1992,1342614,Africa,62.745,7954.111645,3300.0,2.32
Botswana,1997,1536536,Africa,52.556,8647.142313,3070.0,1.9
Botswana,2002,1630347,Africa,46.634,11003.60508,4030.0,2.25
Botswana,2007,1639131,Africa,50.728,12569.85177,4320.0,2.2
Brazil,1992,155975974,Americas,67.057,6950.283021,207870.0,1.33
Brazil,1997,168546719,Americas,69.388,7957.980824,281330.0,1.67
Brazil,2002,179914212,Americas,71.006,8131.212843,317760.01,1.76
Brazil,2007,190010647,Americas,72.39,9065.800825,352560.0,1.85
Bulgaria,1992,8658506,Europe,71.19,6302.623438,55360.0,6.48
Bulgaria,1997,8066057,Europe,70.32,5970.38876,52990.0,6.38
Bulgaria,2002,7661799,Europe,72.14,7696.777725,43600.0,5.56
Bulgaria,2007,7322858,Europe,73.005,10680.79282,52600.0,6.97
Burkina Faso,1992,8878303,Africa,50.26,931.7527731,520.0,0.05
Burkina Faso,1997,10352843,Africa,50.324,946.2949618,690.0,0.06
Burkina Faso,2002,12251209,Africa,50.65,1037.645221,960.0,0.08
Burkina Faso,2007,14326203,Africa,52.295,1217.032994,1410.0,0.1
Burundi,1992,5809236,Africa,44.736,631.6998778,180.0,0.03
Burundi,1997,6121610,Africa,45.326,463.1151478,210.0,0.04
Burundi,2002,7021078,Africa,47.36,446.4035126,210.0,0.03
Burundi,2007,8390505,Africa,49.58,430.0706916,180.0,0.02
Cambodia,1992,10150094,Asia,55.803,682.3031755,1350.0,0.14
Cambodia,1997,11782962,Asia,56.534,734.28517,1640.0,0.14
Cambodia,2002,12926707,Asia,56.752,896.2260153,2210.0,0.18
Cambodia,2007,14131858,Asia,59.723,1713.778686,3660.0,0.27
Cameroon,1992,12467171,Africa,54.314,1793.163278,6850.0,0.56
Cameroon,1997,14195809,Africa,52.199,1694.337469,4860.0,0.35
Cameroon,2002,15929988,Africa,49.856,1934.011449,5130.0,0.32
Cameroon,2007,17696293,Africa,50.43,2042.09524,6130.0,0.34
Canada,1992,28523502,Americas,77.95,26342.88426,426370.0,15.03
Canada,1997,30305843,Americas,78.61,28954.92589,476820.0,15.94
Canada,2002,31902268,Americas,79.77,33328.96507,524349.98,16.72
Canada,2007,33390141,Americas,80.653,36319.23501,571630.0,17.38
Central African Republic,1992,3265124,Africa,49.396,747.9055252,150.0,0.05
Central African Republic,1997,3696513,Africa,46.066,740.5063317,170.0,0.05
Central African Republic,2002,4048013,Africa,43.308,738.6906068,250.0,0.06
Central African Republic,2007,4369038,Africa,44.741,706.016537,240.0,0.05
Chad,1992,6429417,Africa,51.724,1058.0643,410.0,0.07
Chad,1997,7562011,Africa,51.573,1004.961353,470.0,0.06
Chad,2002,8835739,Africa,50.525,1156.18186,400.0,0.05
Chad,2007,10238807,Africa,50.651,1704.063724,500.0,0.05
Chile,1992,13572994,Americas,74.126,7596.125964,30320.0,2.2
Chile,1997,14599929,Americas,75.816,10118.05318,51290.0,3.46
Chile,2002,15497046,Americas,77.86,10778.78385,49120.0,3.13
